,Feature,Coef
0,Age,-0.11734538774299273
1,TotalSF,0.11540583967632105
2,SaleType_New,0.11353746414005508
3,OverallQual,0.11112426762942157
4,Neighborhood_Crawfor,0.09604080761574607
5,GrLivArea,0.07476258573687385
6,MSSubClass_160,-0.07422926361404754
7,Neighborhood_StoneBr,0.07089152478271848
8,Neighborhood_Somerst,0.06383309898900602
9,MSZoning_RL,0.0632238862071776
10,Exterior1st_BrkFace,0.06191199530473286
11,CentralAir_Y,0.06078082417854424
12,SaleCondition_Normal,0.060184468438843085
13,Functional_Typ,0.05433056173201525
14,Artery,-0.0535283592611579
15,MSZoning_FV,0.04455647778967615
16,Neighborhood_MeadowV,-0.04428901346496299
17,GarageCars,0.041628697229736285
18,KitchenAbvGr,-0.041290636077264194
19,Neighborhood_NridgHt,0.03850729573387962
20,RRAe,-0.037503931797251464
21,BsmtExposure_Gd,0.03605057740451058
22,MSSubClass_30,-0.03418712916422956
23,MSSubClass_70,0.03352568116850671
24,Neighborhood_BrkSide,0.03297452411700813
25,BsmtQual_Ex,0.03213516280474682
26,OverallCond,0.03047650649577712
27,HouseCond,0.030257051832161357
28,LotConfig_CulDSac,0.029648349803375357
29,BsmtUnfSF,-0.02897745145082218
30,HasFireplace,0.02862419676590358
31,Foundation_PConc,0.027487082472210104
32,HasGarage,0.025643851273691953
33,TotPorchDeckSF,0.02527151377295061
34,GarageQual_Gd_Ex,0.02480528334126531
35,Feedr,-0.023190474393792286
36,KitchenQual_Gd,-0.020817238419050647
37,KitchenQual_TA,-0.01840416715444607
38,HeatingQC_TA,-0.015381347174576522
39,BsmtGLQFinSF,0.01420439246404922
40,Exterior1st_MetalSd,0.013492823494867866
41,KitchenQual_Fa,-0.01316687542558053
42,HeatingQC_Fa,-0.013163203076567551
43,PavedDrive_Y,0.012770410766073898
44,Neighborhood_Edwards,-0.01260811598646962
45,Neighborhood_ClearCr,0.012574932191971507
46,BsmtCond_Fa,-0.012054944598669425
47,BldgType_Twnhs,-0.012036053953274015
48,MasVnrType_Stone,0.012023107333009764
49,Alley_Pave,0.01171087414100302
50,BsmtCond_TA,0.011672852734249797
51,MSSubClass_20,0.011594469455128799
52,Remod_Rcy,0.011304049261172617
53,Neighborhood_NWAmes,-0.010873609994067562
54,TotalBath,0.01085215993289623
55,ExterCond_TA,0.010703316917063107
56,Neighborhood_Mitchel,-0.009148418200023847
57,ExterQual_Fa,-0.008770396061560277
58,MoSold_5,0.00845083859838895
59,Exterior1st_Wd Sdng,-0.00831447443280664
60,Neighborhood_IDOTRR,-0.008263048297550667
61,LotFrontage,0.00788485114281419
62,LotArea,0.007660300854072965
63,HeatingQC_Gd,-0.0063397672437103215
