,Feature,Coef
169,Alley_Pave,0.0
170,Neighborhood_Blueste,0.0
171,Neighborhood_BrDale,-0.0
172,Neighborhood_ClearCr,0.0
173,Neighborhood_CollgCr,0.0
174,Neighborhood_Gilbert,-0.0
175,Neighborhood_NAmes,-0.0
176,Neighborhood_NPkVill,0.0
177,Neighborhood_NoRidge,0.0
178,Neighborhood_OldTown,-0.0
179,Neighborhood_SWISU,0.0
180,Neighborhood_Sawyer,-0.0
181,Neighborhood_SawyerW,-0.0
182,Neighborhood_Timber,-0.0
183,Neighborhood_Veenker,0.0
184,LotShape_IR2,0.0
185,LotShape_IR3,-0.0
186,LotShape_Reg,-0.0
187,Electrical_FuseF,0.0
188,Electrical_FuseP,-0.0
189,Electrical_SBrkr,-0.0
190,RoofStyle_Gable,-0.0
191,RoofStyle_Gambrel,-0.0
192,RoofStyle_Hip,0.0
193,RoofStyle_Mansard,0.0
194,RoofStyle_Shed,0.0
195,HouseStyle_1.5Unf,0.0
196,HouseStyle_1Story,-0.0
197,HouseStyle_2.5Unf,0.0
198,HouseStyle_2Story,-0.0
199,HouseStyle_SFoyer,-0.0
200,HouseStyle_SLvl,0.0
201,BldgType_2fmCon,-0.0
202,BldgType_TwnhsE,-0.0
203,Fence_MnPrv,0.0
204,Fence_MnWw,-0.0
205,LandSlope_Mod,-0.0
206,LandSlope_Sev,-0.0
207,MSSubClass_180,-0.0
208,MSSubClass_190,-0.0
209,MSSubClass_40,0.0
210,MSSubClass_45,0.0
211,MSSubClass_50,0.0
212,MSSubClass_60,-0.0
213,MSSubClass_75,-0.0
214,MSSubClass_80,0.0
215,MSSubClass_85,0.0
216,MasVnrType_None,0.0
217,ExterQual_Fa,-0.0
218,ExterQual_Gd,0.0
219,FireplaceQu_Fa,-0.0
220,FireplaceQu_Po,-0.0
221,FireplaceQu_TA,0.0
222,KitchenQual_Fa,-0.0
