,Feature,Coef
0,TotalSF,0.12152329865955203
1,Age,-0.11730873580191685
2,SaleType_New,0.11585328655466572
3,Neighborhood_Crawfor,0.10258113763483168
4,OverallQual,0.09857363062875499
5,Neighborhood_StoneBr,0.0858473282813798
6,MSSubClass_160,-0.07791182544926485
7,GrLivArea,0.07744394684574467
8,SaleCondition_Normal,0.06606813502649675
9,Exterior1st_BrkFace,0.06553325829968487
10,Neighborhood_Somerst,0.06484929299622039
11,MSZoning_RL,0.06394684513916317
12,CentralAir_Y,0.06269053382797976
13,Neighborhood_MeadowV,-0.0625523374062408
14,RRAe,-0.062265026867656864
15,Artery,-0.060467420861327004
16,Functional_Typ,0.05861257151057196
17,GarageQual_Gd_Ex,0.050173138198810065
18,MSZoning_FV,0.049741474063459065
19,Neighborhood_NridgHt,0.044045034367605054
20,KitchenAbvGr,-0.04299537834526624
21,BsmtExposure_Gd,0.04112651906204775
22,GarageCars,0.0405646855222914
23,MSSubClass_30,-0.03984955615044087
24,MSSubClass_70,0.03856811933862366
25,Neighborhood_BrkSide,0.03829796608985838
26,KitchenQual_Gd,-0.033990697776553384
27,LotConfig_CulDSac,0.03194166860990624
28,ExterQual_Fa,-0.03134105895782512
29,KitchenQual_TA,-0.030861793006145586
30,HasFireplace,0.030453425653339264
31,BsmtQual_Ex,0.030197912551344953
32,MSZoning_RH,0.030074111249653132
33,OverallCond,0.02955731222959255
34,BsmtUnfSF,-0.029401115568580268
35,KitchenQual_Fa,-0.028347483237125104
36,Feedr,-0.026946291814423498
37,Foundation_PConc,0.025990040113287642
38,TotPorchDeckSF,0.025306538951391285
39,Neighborhood_ClearCr,0.02245436655135062
40,HouseCond,0.021338757580192706
41,BsmtCond_Fa,-0.019883402724793154
42,HeatingQC_Fa,-0.019659423837175116
43,BldgType_Twnhs,-0.018958964377642988
44,Neighborhood_Edwards,-0.01828717746963326
45,Exterior1st_Wd Sdng,-0.01816451470401451
46,Neighborhood_Mitchel,-0.017227005873998103
47,HeatingQC_TA,-0.01699027380071635
48,Alley_Pave,0.016121173107712907
49,GarageType_Detchd,0.015732812366069267
50,MasVnrType_Stone,0.014336954082445954
51,Neighborhood_NWAmes,-0.01407413198477992
52,Neighborhood_IDOTRR,-0.014049502202489014
53,GarageQual_TA,0.013709765939197458
54,PavedDrive_Y,0.013634941522190283
55,BsmtGLQFinSF,0.013595585499382412
56,Exterior1st_MetalSd,0.013419406595216692
57,MSSubClass_20,0.01253739848509501
58,HasGarage,0.011942795333947048
59,BsmtCond_TA,0.011764583475719141
60,Remod_Rcy,0.011733136177143503
61,ExterCond_TA,0.011402509646085253
62,GarageType_Attchd,0.011224144238945542
63,SaleCondition_Family,0.011098485412520096
64,TotalBath,0.01096236022639417
65,HouseStyle_SLvl,0.010430035135751728
66,MoSold_5,0.010201189348254796
67,RRAn,-0.010035043036489813
68,HeatingQC_Gd,-0.009310033379305842
69,Exterior2nd_Wd Sdng,0.00855746692438721
70,LandSlope_Sev,-0.008345223223256757
71,MoSold_10,-0.008219516002789749
72,MoSold_11,-0.008014862484754552
73,GarageType_BuiltIn,0.007933152021340519
74,Exterior1st_HdBoard,-0.007733368750150952
75,LotArea,0.007477702230446878
76,LotFrontage,0.00728385376449189
77,BsmtQual_Gd,-0.006764262804683926
78,Neighborhood_NAmes,-0.006348215922228034
79,BldgType_TwnhsE,-0.005937085024830883
80,OverallQualCon,0.005685870270815421
