,Feature,Coef
0,TotalSF,0.11801449245552885
1,Age,-0.11007376470035617
2,SaleType_New,0.10534959331332547
3,OverallQual,0.10470434432613947
4,Neighborhood_Crawfor,0.0995584406101398
5,MSZoning_FV,0.07978658554438268
6,GrLivArea,0.07450796141380826
7,CentralAir_Y,0.06696096974128815
8,MSSubClass_160,-0.06662702936899244
9,Neighborhood_StoneBr,0.06413687756470181
10,MSZoning_RL,0.06160971713528216
11,SaleCondition_Normal,0.06035512786273636
12,Functional_Typ,0.051950606573063246
13,Artery,-0.049241988563584846
14,GarageCars,0.04312667172849916
15,Exterior1st_BrkFace,0.042538416033192965
16,KitchenAbvGr,-0.04141035051146539
17,Neighborhood_MeadowV,-0.039662883112250004
18,Neighborhood_NridgHt,0.037121909898770476
19,BsmtExposure_Gd,0.0358850903276485
20,MSSubClass_30,-0.032929909367139756
21,Neighborhood_BrkSide,0.03140237047380456
22,OverallCond,0.030733192367879532
23,Foundation_PConc,0.030679338546948987
24,LotConfig_CulDSac,0.029692067516142735
25,Neighborhood_Somerst,0.029298113968742146
26,HouseCond,0.02741499787004935
27,BsmtQual_Ex,0.02713279672006606
28,Feedr,-0.026903544196940223
29,BsmtUnfSF,-0.026597370830757236
30,TotPorchDeckSF,0.024805730521532045
31,GarageCond_TA,0.024584306603494813
32,HasFireplace,0.022833449848286287
33,RRAe,-0.022708530585372245
34,KitchenQual_Gd,-0.022023814712250726
35,ExterCond_TA,0.020782974507164317
36,KitchenQual_TA,-0.01991145707688623
37,Neighborhood_NWAmes,-0.01890009356810865
38,GarageQual_Gd_Ex,0.018478863608109797
39,MasVnrType_Stone,0.018337912970020312
40,Neighborhood_IDOTRR,-0.017504603143091428
41,HeatingQC_TA,-0.016472728827968804
42,PavedDrive_Y,0.015710916618432148
43,BsmtGLQFinSF,0.015136451855740266
44,BldgType_Twnhs,-0.01473152565912342
45,MSSubClass_70,0.013195452947235307
46,TotalBath,0.012366869611282283
47,Neighborhood_Edwards,-0.01230852204184743
48,Exterior1st_MetalSd,0.011660861441174116
49,MoSold_5,0.0113545166964766
50,Remod_Rcy,0.011307776816802532
51,FireplaceQu_Gd,0.010304620324885235
52,HasGarage,0.009432496979326797
53,MSSubClass_20,0.009192101582860277
54,LotFrontage,0.008969149911599063
55,Exterior1st_Wd Sdng,-0.007660306250321645
56,LotArea,0.007638800995181721
57,HeatingQC_Gd,-0.0072962140090365
58,OverallQualCon,0.005908172570782713
59,BsmtExposure_No,-0.005440981767661376
60,Exterior1st_HdBoard,-0.004970151035215076
61,Neighborhood_ClearCr,0.004916661666216862
62,Fence_None,0.0046188465499445155
63,HeatingQC_Fa,-0.004556182255994551
64,Fence_GdWo,-0.004412409897250661
65,MoSold_6,0.0044088677180978515
66,MasVnrArea,0.00428784249299229
67,Neighborhood_Mitchel,-0.004269345053556137
68,BsmtCond_TA,0.00419796634780966
69,MoSold_7,0.004150544131866931
70,SaleType_WD,-0.00405462775165336
71,MSSubClass_90,-0.003685209091265325
72,KitchenQual_Fa,-0.00341213988554888
73,Exterior1st_VinylSd,0.003283351378424386
74,HouseStyle_SLvl,0.0032159475382056288
75,GarageType_Detchd,0.0022493413140548184
76,LotConfig_Inside,-0.0020853738335327174
77,BsmtCond_Fa,-0.002012015922935525
78,FireplaceQu_None,-0.0015059626790877546
79,GarageType_Attchd,0.0014202835798136516
80,BsmtQual_Gd,-0.0013970693135038127
81,ExterQual_TA,-0.0011031816116468893
82,BldgType_Duplex,-0.0005248964527730359
83,MasVnrType_BrkFace,-0.0004319273082616392
84,MoSold_11,-0.0002049506282605316
85,LowQualFinSF,5.419643671577819e-05
86,1stFlrSF,0.0
87,BedroomAbvGr,-0.0
88,PosA,-0.0
89,PosN,-0.0
90,RRAn,-0.0
91,RRNe,-0.0
92,RRNn,-0.0
93,Has2ndFlr,-0.0
94,BsmtHasBath,-0.0
95,HasBsmt,-0.0
96,GarageFinish_Fin,0.0
97,GarageFinish_RFn,0.0
98,GarageFinish_Unf,-0.0
99,GarageQual_Po_Fa,-0.0
100,GarageQual_TA,0.0
101,GarageType_2Types,-0.0
102,GarageType_Basment,-0.0
103,GarageType_BuiltIn,0.0
104,GarageType_CarPort,-0.0
105,GarageCond_Ex,0.0
106,GarageCond_Fa,-0.0
107,GarageCond_Gd,0.0
108,GarageCond_Po,0.0
109,BsmtQual_Fa,0.0
110,BsmtQual_TA,-0.0
111,BsmtCond_Gd,-0.0
112,BsmtCond_Po,0.0
113,BsmtExposure_Av,0.0
114,BsmtExposure_Mn,-0.0
115,LotConfig_FR2,-0.0
116,LotConfig_FR3,-0.0
117,LandContour_HLS,0.0
118,LandContour_Low,-0.0
119,LandContour_Lvl,-0.0
120,Exterior1st_AsphShn,-0.0
121,Exterior1st_BrkComm,-0.0
122,Exterior1st_CBlock,-0.0
123,Exterior1st_CemntBd,-0.0
124,Exterior1st_Plywood,-0.0
125,Exterior1st_Stucco,0.0
126,Exterior1st_WdShing,0.0
127,Exterior2nd_AsphShn,0.0
128,Exterior2nd_Brk Cmn,-0.0
129,Exterior2nd_BrkFace,-0.0
130,Exterior2nd_CBlock,-0.0
131,Exterior2nd_CmentBd,-0.0
132,Exterior2nd_HdBoard,-0.0
133,Exterior2nd_ImStucc,-0.0
134,Exterior2nd_MetalSd,0.0
135,Exterior2nd_Plywood,-0.0
136,Exterior2nd_Stone,-0.0
137,Exterior2nd_Stucco,0.0
138,Exterior2nd_VinylSd,0.0
139,Exterior2nd_Wd Sdng,0.0
140,Exterior2nd_Wd Shng,-0.0
141,RoofMatl_Tar&Grv,-0.0
142,RoofMatl_WdShake,-0.0
143,RoofMatl_WdShngl,0.0
144,MoSold_10,-0.0
145,MoSold_12,0.0
146,MoSold_2,-0.0
147,MoSold_3,-0.0
148,MoSold_4,0.0
