,Feature,Importance
0,TotalSF,0.22139310836791992
1,OverallQual,0.17109085619449615
2,HouseCond,0.08398421853780746
3,Age,0.06919126212596893
4,TotalBath,0.05104149878025055
5,GarageCars,0.0406033881008625
6,GarageType,0.03721700981259346
7,OverallQualCon,0.03513547405600548
8,LotArea,0.02738550491631031
9,GrLivArea,0.022031744942069054
10,BsmtUnfSF,0.01774609088897705
11,HasFireplace,0.017014089971780777
12,1stFlrSF,0.01614273153245449
13,MSZoning,0.015120391733944416
14,TotPorchDeckSF,0.014072572812438011
15,BsmtGLQFinSF,0.012176288291811943
16,SaleCondition,0.011591696180403233
17,LotFrontage,0.011320412158966064
18,Neighborhood,0.009791278280317783
19,BsmtQual,0.009419916197657585
20,KitchenQual,0.008990851230919361
21,CentralAir,0.007862108759582043
22,ExterQual,0.007262097205966711
23,MoSold,0.005808967165648937
24,Remod_Rcy,0.0055902390740811825
25,Exterior1st,0.004514580592513084
26,MasVnrArea,0.00393975293263793
27,OverallCond,0.003445681184530258
28,GarageQual,0.003397436114028096
29,Exterior2nd,0.0032839307095855474
30,MSSubClass,0.0032709783408790827
31,Functional,0.0032644039019942284
32,Artery,0.003007759340107441
33,KitchenAbvGr,0.003003362100571394
34,BsmtExposure,0.002807347336784005
35,HeatingQC,0.0027715887408703566
36,BedroomAbvGr,0.002568116644397378
37,GarageCond,0.0025647568982094526
38,HouseStyle,0.002419868716970086
39,FireplaceQu,0.002020522952079773
40,SaleType,0.0018242395017296076
41,LandContour,0.001643915195018053
42,LotConfig,0.0015630741836503148
43,BsmtCond,0.0015509153017774224
44,GarageFinish,0.0015355005161836743
45,Foundation,0.0015347643056884408
46,Electrical,0.0014609018107876182
47,Fence,0.0014544562436640263
48,LotShape,0.0014390646247193217
49,MasVnrType,0.0012933667749166489
50,PavedDrive,0.0012321742251515388
51,Alley,0.0012132404372096062
52,RoofStyle,0.0010441822232678533
53,BldgType,0.0009558420861139894
54,LandSlope,0.0008912690682336688
55,ExterCond,0.0008847967255860567
56,BsmtHasBath,0.0007520694052800536
57,RoofMatl,0.0007077138288877904
58,RRAe,0.0005067552556283772
59,Feedr,0.0004837913147639483
60,Has2ndFlr,0.0003948963130824268
61,RRAn,0.00016088153643067926
62,HasGarage,5.3365361964097247e-05
63,PosA,5.128602060722187e-05
64,LowQualFinSF,3.9026512240525335e-05
65,PosN,3.638419002527371e-05
66,HasBsmt,1.970978883036878e-05
67,RRNn,8.5641650002799e-06
68,RRNe,0.0
